,input_texts,target_texts
0,Go.,Πάμε.
1,Run!,Τρέξε!
2,Run!,Τρέξτε!
3,Who?,Ποιος;
4,Wow!,Ουάου!
5,Help!,Βοήθεια!
6,Jump!,Πήδα!
7,Hello!,Γεια σας.
8,Hurry!,Βιάσου!
9,I try.,Προσπαθώ.
10,I won!,Κέρδισα!
11,I won!,Νίκησα!
12,Smile.,Χαμογέλα.
13,Attack!,Επίθεση!
14,Cheers!,Στην υγειά μας!
15,I fell.,Έπεσα.
16,I know.,Ξέρω.
17,I left.,Έφυγα.
18,I lied.,Είπα ψέματα.
19,I lost.,Έχασα.
20,I'm OK.,Είμαι εντάξει.
21,I'm OK.,Είμαι καλά.
22,I'm OK.,Καλά είμαι.
23,Listen.,Άκου.
24,Really?,Αλήθεια;
25,Thanks.,Ευχαριστώ.
26,Try it.,Δοκίμασε το.
27,Try it.,Δοκιμάστε το.
28,We try.,Προσπαθούμε.
29,We won.,Νικήσαμε.
30,We won.,Κερδίσαμε.
31,Why me?,Γιατί εγώ;
32,Ask Tom.,Ρώτα τον Τομ.
33,Ask Tom.,Ρωτήστε τον Τομ.
34,Get out.,Βγες έξω.
35,Get out.,Βγείτε έξω.
36,Goodbye!,Αντίο.
37,He came.,Ήρθε.
38,He runs.,Αυτός τρέχει.
39,Help me!,Βοήθησέ με!
40,Help us.,Βοήθησέ μας.
41,Help us.,Βοηθήστε μας.
42,Hit Tom.,Χτύπα τον Τομ.
43,Hit Tom.,Χτυπήστε τον Τομ.
44,Hug Tom.,Αγκάλιασε τον Τομ.
45,Hug Tom.,Αγκαλιάστε τον Τομ.
46,I agree.,Συμφωνώ.
47,I tried.,Προσπάθησα.
48,I'm Tom.,Είμαι ο Τομ.
49,I'm shy.,Είμαι ντροπαλός.
50,I'm shy.,Είμαι ντροπαλή.
51,"Me, too.",Κι εγώ.
52,Open up.,Άνοιξε.
53,Perfect!,Τέλεια!
54,See you!,Τα λέμε!
55,See you.,Τα λέμε.
56,Tom ate.,Ο Τομ έφαγε.
57,Tom ran.,Ο Τομ έτρεξε.
58,Tom won.,Ο Τομ νίκησε.
59,Wash up.,Πλύσου.
60,We lost.,Χάσαμε.
61,Welcome.,Καλώς ήρθατε.
62,Welcome.,Καλώς όρισες.
63,Who ate?,Ποιος έφαγε;
64,Who won?,Ποιος νίκησε;
65,Who won?,Ποιος κέρδισε;
66,Why not?,Γιατί όχι;
67,You won.,Κέρδισες.
68,You won.,Κερδίσατε.
69,You won.,Νίκησες.
70,You won.,Νικήσατε.
71,Am I fat?,Είμαι χοντρή;
